;N1E1C1;N1E1C2;N1E1C3;N1E1C4;N1E2C1;N1E2C2;N1E2C3;N1E2C4;N1E3C1;N1E3C2;N1E3C3;N1E3C4;N1E4C1;N1E4C2;N1E4C3;N1E4C4
image;0;0.958799707893514;0.8737284725017;0.0044312116368369;0.156295634837398;0;0;0;0.00280276272325578;0.967298802269384;0.94367753324105;0.00013072465031156;0.37671684899493;0.967298802269384;0.917560257133811;0
image;0;0.844871009461575;0.845725159711839;0.0246137555951292;0.0490076527752774;0;0;0;0.0212215313751392;0.845813779500782;0.846012645319192;0;0.772803543862004;0.843769162635416;0;0
image;0;0.83875580979621;0.838909467716385;0.113017053851646;0.289351588295571;0.181383776952847;0;0;0.0836677695440924;0.859790759902156;0.763040238450075;0;0.853262529664701;0.858512404423972;0.745989166881609;0
image;0;0.914797628254705;0.794843537020388;0.0310863748495954;0.175289794819069;0;0.206258952211468;0;0.111548051248499;0.914797628254705;0.914797628254705;0;0.44520041413992;0.914797628254705;0.904496151375049;0
image;0;0.904678451691558;0;0.0513241726557995;0.14641372354165;0;0;0;0.107769732534471;0.918850460112367;0.57564334182113;0;0.486452594648669;0.920437355696505;0.646457687449765;0
image;0;0.871419537987542;0.403741621860499;0.128161147166234;0.116105150246831;0;0;0;0.120127976708122;0.797394287031966;0.734259247161504;0;0.865278136776089;0.876137158852344;0.637825757273417;0
image;0;0.48245965480216;0.276148300280256;0.000394120439623436;0.188501371042672;0;0;0;0.0952392357389633;0.455770241850684;0.535472591253464;0;0.384471728116564;0.444038782002727;0.525014920458521;0
image;0;0.568595470215369;0.202696764345352;0.0281366094457317;0.347170157608571;0;0;0;0.19061335585082;0.447359127295558;0.232698502401808;0;0.500546877191014;0.538479584846523;0.524395601122801;0
image;0;0.685588708002143;0.199098027280525;0.00632541574305085;0.0000110252367669596;0;0;0;0.153386167432413;0.541929868191992;0.502708832052413;0;0.846391993964254;0.603232806136066;0.596485747754783;0
image;0;0.685567718591123;0.224365435008451;0.0087457372689151;0.164879184130147;0;0;0;0.125403023527247;0.747045278447721;0.255405981604434;0;0.61072477205996;0.838863613385906;0.65252787849764;0
